time_stamp,Quarter_1,quarter,startup,sector,current_status,proof_of_concept,prototype_development,product_development,field_trails,market_launch,external_loans,angel_funds,vc_funds,other_funds,aic_funds,purpose,employees,turnover,gst_filed,total_funding,dev_stage_score,status_score,rev_per_emp,performance_score
7-19-2023 16:35:58,Q1- Apr 2023 to June 2023,Q1 2023,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,2,2,2,2,2,2400000,0,0,1900000,0,Commercialisation,0.0,0.0015197640245512814,0.0,0.793264263998347,0.25,1.0,0.030252100840336135,0.28857060893185765
10-18-2023 13:05:33,Q2- July 2023 to Sept 2023,Q2 2023,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,2,2,2,2,2,0,0,0,0,700000,Commercialisation,0.01694915254237288,0.0,0.0,0.23333333333333334,0.5,1.0,0.0,0.19836158192090397
01-04-2024 10:38,Q3- Oct 2023 - Dec 2023,Q3 2023,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,2,2,2,2,3,0,0,0,0,0,Market Entry,0.015873015873015872,0.0,0.0,0.0,0.55,1.0,0.0,0.1565873015873016
04-10-2024 21:02,Q4- Jan 2024 - Mar 2024,Q4 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,0,3,0,0,0,0,0,Commercialisation,0.027777777777777776,0.0,0.0,0.0,0.6000000000000001,1.0,0.0,0.1627777777777778
6-27-2024 21:38:24,Q1 - Apr 2024 - Jun 2024,Q1 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,1,1,0,0,0,0,0,Commercialisation,0.01639344262295082,0.0,0.0,0.0,0.55,1.0,0.0,0.1566393442622951
10-08-2024 11:28,Q2 - July 2024 - Sept 2024,Q2 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,1,1,0,0,0,0,0,Market Entry,0.01639344262295082,0.0,0.0,0.0,0.55,1.0,0.0,0.1566393442622951
1-17-2025 13:26:50,Q3 - Oct 2024 - Dec 2024,Q3 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,1,1,0,0,0,0,1400000,Prototype Development,0.0,0.0,0.0,0.9333333333333333,0.55,1.0,0.0,0.3416666666666667
7-21-2023 11:46:01,Q1- Apr 2023 to June 2023,Q1 2023,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,3,0,0,0,0,0,Commercialisation,0.03125,0.0,0.0,0.0,1.0,0.0,0.0,0.10312500000000001
10-18-2023 17:17:51,Q2 - July 2023 - Sept 2023,Q2 2023,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1
01-04-2024 10:01,Q3 - Oct 2023 - Dec 2023,Q3 2023,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1
04-12-2024 21:59,Q4 - Jan 2024 to March 2024,Q4 2024,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,960000,Commercialisation,0.0,0.005454600607742693,0.003246785875244572,0.15483870967741933,1.0,0.0,0.20182022248647968,0.16292910404791597
07-01-2024 16:51,Q1 - Apr 2024 to June 2024,Q1 2024,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1
10-10-2024 10:36,Q2 - July 2024 to Sept 2024,Q2 2024,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1
01-07-2025 08:34,Q3 - Oct 2024 to Dec 2024,Q3 2024,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,3,0,0,0,0,0,Commercialisation,0.045454545454545456,0.0,0.0,0.0,0.9500000000000001,0.0,0.0,0.09954545454545456
4-16-2025 21:58:42,Q4 - Jan 2025 to Mar 2025,Q4 2025,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,0.015625,0.0047813145696993615,0.004967010831967592,0.0,1.0,0.0,0.09893052770161792,0.11809410888086429
7-19-2023 19:42:08,Q1- Apr 2023 to June 2023,Q1 2023,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,4,3,4,3,0,0,0,0,0,Market Entry,1.0,1.0,1.0,0.0,0.9166666666666667,1.0,0.6220558823529412,0.7349750490196078
10-13-2023 16:43:42,Q2- July 2023 to Sept 2023,Q2 2023,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,0,4,3,3,0,0,0,0,0,Product Trail,0.5254237288135594,1.0,0.9999999999999999,0.0,0.7000000000000001,1.0,1.0,0.7225423728813559
01-05-2024 11:42,Q3 - Oct 2023 - Dec 2023,Q3 2023,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,4,3,4,3,0,0,0,0,0,Product Trail,0.5079365079365079,1.0,0.0,0.0,0.9,1.0,0.965909090909091,0.6356800144300144
04-09-2024 15:02,Q4- Jan 2024 - Mar 2024,Q4 2024,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,4,4,3,3,0,0,0,0,1500000,Commercialisation,0.9999999999999999,0.9999999999999999,1.0,0.24193548387096772,0.9,1.0,1.0,0.8383870967741934
07-02-2024 10:16,Q1 - Apr 2024 - Jun 2024,Q1 2024,EROYAL TECH SYSTEMS PRIVATE LIMITED,IT Services,Active,4,4,3,3,3,0,0,0,0,0,Commercialisation,0.6885245901639344,1.0,1.0,0.0,0.8500000000000001,1.0,0.9999999999999999,0.7538524590163934
